ID,지역코드,기간코드,인허가일자,지번주소
345,111123,17,20110718,서울특별시 종로구 종로6가 244-16번지 지하1층
346,111123,17,20110711,서울특별시 종로구 효제동 245-21번지 지상1층
347,111123,17,20110608,서울특별시 종로구 종로5가 231-9번지 지상2층
348,111123,17,20110527,서울특별시 종로구 인의동 36번지 지하1층
349,111123,17,20110520,서울특별시 종로구 돈의동 45-1번지 지하(1층)
350,111123,17,20020507,서울특별시 종로구 관철동 19-19번지
351,111123,17,20020429,서울특별시 종로구 낙원동 25번지  (지하1층)
352,111123,17,20020419,서울특별시 종로구 종로5가 113번지
353,111123,17,20020329,서울특별시 종로구 관수동 12-0번지
354,111123,17,20011219,서울특별시 종로구 공평동 60번지
355,111123,17,20011205,서울특별시 종로구 종로6가 123-1번지
356,111123,17,20011130,서울특별시 종로구 효제동 186번지
357,111123,17,20010917,서울특별시 종로구 돈의동 123-0번지
358,111123,17,20010806,서울특별시 종로구 청진동 140-0번지
359,111123,17,20010802,서울특별시 종로구 당주동 171-0번지 지하1층
360,111123,17,20020719,서울특별시 종로구 낙원동 58-1번지 종로오피스텔 지하 1층 117호
361,111123,17,20020716,서울특별시 종로구 종로5가 38-2번지 지상2층
362,111123,17,20020708,서울특별시 종로구 종로5가 193-1번지
363,111123,17,20020612,서울특별시 종로구 종로5가 113번지
364,111123,17,20010612,서울특별시 종로구 당주동 100번지
365,111123,17,20001009,서울특별시 종로구 낙원동 243-1번지 지하 1층
366,111123,17,20000712,서울특별시 종로구 종로5가 231-19번지
367,111123,17,20040420,서울특별시 종로구 연지동 206번지 지하1층
368,111123,17,20040323,서울특별시 종로구 당주동 42-2번지
369,111123,17,20040302,서울특별시 종로구 숭인동 313-8번지 지하1층
370,111123,17,20031230,서울특별시 종로구 효제동 175-1번지 지하1층
371,111274,17,20001118,서울특별시 강동구 길동 413-50
372,111123,17,20030909,서울특별시 종로구 종로6가 246-1번지
373,111123,17,20000223,서울특별시 종로구 운니동 20 지하1층
374,111123,17,20001215,서울특별시 종로구 창신동 459-25번지
375,111123,17,20031209,서울특별시 종로구 관철동 19-16
376,111123,17,20030925,서울특별시 종로구 종로6가 128-1
377,111123,17,20001213,서울특별시 종로구 당주동 160-0번지
378,111123,17,20001207,서울특별시 종로구 관수동 20-0번지
379,111123,17,19740430,서울특별시 종로구 낙원동 207번지
380,111123,17,19740411,서울특별시 종로구 당주동 2-3번지 외 2필지(지하1층)
381,111123,17,20000414,서울특별시 종로구 관수동 3-5번지
382,111123,17,20000315,서울특별시 종로구 청진동 6번지 지하1층
383,111123,17,20000225,서울특별시 종로구 교남동 34번지 지하1층
384,111123,17,20000201,서울특별시 종로구 돈의동 128-2번지
385,111274,17,20110627,서울특별시 강동구 길동 458-1
386,111123,17,20030708,서울특별시 종로구 종로5가 38-1번지 지상2층
387,111123,17,20080528,서울특별시 종로구 종로6가 244-15번지 (지상3층)
388,111123,17,19740429,서울특별시 종로구 장사동 227-1
389,111123,17,20070503,서울특별시 종로구 장사동 2번지
390,111123,17,20070313,서울특별시 종로구 종로5가 332-7번지 지상2층
391,111123,17,20110414,서울특별시 종로구 종로6가 124-1번지 (지상2층)
392,111123,17,20110413,서울특별시 종로구 종로5가 54번지 (지상1층)
393,111123,17,20101228,서울특별시 종로구 창신동 436-73번지 (지하1층)
394,111123,17,20101201,서울특별시 종로구 종로5가 214-3번지 (2층)
395,111123,17,20101108,서울특별시 종로구 종로5가 231-20번지 (3층)
396,111123,17,20101021,서울특별시 종로구 종로5가 50-3번지 (2층)
397,111123,17,20100903,서울특별시 종로구 창신동 378번지 2층
